Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
SUNY,13719,-,-,India,23.95,71.15,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Snow Depth,Wind Direction,Wind Speed,Fill Flag,,,,,,,,,,,,,,
2008,1,2,10,30,167,631,504,168,692,537,0,19.5859625371,1017.2919921875,27.0091677451,57.8016079652,0.6167911441,0,15.1040039063,3.2056186199,0,,,,,,,,,,,,,,
2008,1,2,11,30,197,657,614,185,754,663,-1,23.5341741038,1016.330078125,18.2675774132,50.6919805992,0.6382846009,0,18.128326416,3.9194295406,0,,,,,,,,,,,,,,
2008,1,2,12,30,200,715,687,192,779,722,-2,25.4824957822,1015.1232299805,16.0371772389,47.1407033226,0.6557852667,0,22.1095733643,4.079454422,0,,,,,,,,,,,,,,
2008,1,2,13,30,210,676,663,190,773,708,-1,26.1227101347,1014.2150268555,15.8948088273,47.9481309458,0.6745009782,0,22.2943267822,3.9968795776,0,,,,,,,,,,,,,,
2008,1,2,14,30,217,564,558,179,734,622,-1,25.933984369,1013.1691894531,16.2797164574,52.9146350852,0.7020297827,0,18.7422637939,3.9690778255,0,,,,,,,,,,,,,,
2008,1,2,15,30,166,573,444,158,652,474,-1,24.923361608,1012.7706298828,17.1551758664,61.0299737876,0.7123836676,0,14.2761611938,4.0111403465,0,,,,,,,,,,,,,,
2008,1,2,16,30,151,334,259,122,497,282,0,22.6501109833,1012.60546875,21.827057742,71.2204841555,0.7137174765,0,6.5968017578,3.9069581032,0,,,,,,,,,,,,,,
2008,1,2,17,30,46,10,48,55,196,80,0,19.2648732673,1012.8024902344,28.2112050192,82.7153574903,0.7003441814,0,1.6541976929,4.3109025955,0,,,,,,,,,,,,,,
2008,1,2,18,30,0,0,0,0,0,0,0,17.7979541419,1012.9943237305,28.592042335,95.0361619388,0.6804470667,0,1.4191818237,4.7370185852,0,,,,,,,,,,,,,,
2008,1,2,19,30,0,0,0,0,0,0,-2,16.791639373,1013.6158447266,27.648801274,107.8879840929,0.6614071148,0,2.71849823,4.9610505104,0,,,,,,,,,,,,,,
2008,1,2,20,30,0,0,0,0,0,0,-2,15.7736635579,1013.9105834961,27.5063158387,121.0908616908,0.648036363,0,5.0908050537,4.9719676971,0,,,,,,,,,,,,,,
2008,1,2,21,30,0,0,0,0,0,0,-3,14.7754382388,1014.2694091797,27.966948644,134.5274516051,0.6513693096,0,8.5380477905,4.8687572479,0,,,,,,,,,,,,,,
2008,1,2,22,30,0,0,0,0,0,0,-3,13.8244109101,1014.2113647461,28.9425271544,148.1168293824,0.6649786144,0,12.5884399414,4.7219233513,0,,,,,,,,,,,,,,
2008,1,2,23,30,0,0,0,0,0,0,-4,12.9195702926,1014.1495361328,30.4301764175,161.7958945864,0.6873435553,0,16.6020202637,4.6093473434,0,,,,,,,,,,,,,,
2008,1,3,0,30,0,0,0,0,0,0,-3,12.0413844489,1014.0439453125,32.5614388923,175.4499497315,0.7084867724,0,20.426612854,4.4863724709,0,,,,,,,,,,,,,,
2008,1,3,1,30,0,0,0,0,0,0,-3,11.2002457113,1013.9259643555,35.3698531038,170.6183308604,0.727518884,0,23.8207702637,4.3221049309,0,,,,,,,,,,,,,,
2008,1,3,2,30,0,0,0,0,0,0,-3,10.4472863063,1013.7554321289,38.3244393569,156.9215491033,0.7492859955,0,27.319152832,4.232049942,0,,,,,,,,,,,,,,
2008,1,3,3,30,0,0,0,0,0,0,-2,9.7521730276,1013.4956054688,41.3357064843,143.2656410729,0.7649469521,0,31.0047531128,4.123152256,0,,,,,,,,,,,,,,
2008,1,3,4,30,0,0,0,0,0,0,-2,9.1283182939,1013.7932739258,44.2601698973,129.7201440225,0.7843015251,0,34.7667732239,3.9496703148,0,,,,,,,,,,,,,,
2008,1,3,5,30,0,0,0,0,0,0,-2,8.6026148993,1013.8655395508,46.7656603987,116.3521740555,0.8089935475,0,40.2699890137,3.7914972305,0,,,,,,,,,,,,,,
2008,1,3,6,30,0,0,0,0,0,0,-1,8.1709867376,1014.7400512695,49.0668000536,103.2530265151,0.8445872709,0,46.5654563904,3.6367528439,0,,,,,,,,,,,,,,
2008,1,3,7,30,0,0,0,1,0,1,-1,9.0852333695,1015.4353027344,48.3915844904,90.5527137518,0.892804148,0,52.2172317505,3.4230544567,0,,,,,,,,,,,,,,
2008,1,3,8,30,86,259,138,83,319,147,-1,11.8864098438,1015.9908447266,40.2297837478,78.481002913,0.9344522353,0,57.0247192383,2.8008086681,0,,,,,,,,,,,,,,
2008,1,3,9,30,142,490,331,136,554,349,0,15.8647357233,1016.6159667969,35.0818795178,67.3704186436,0.975154089,0,59.167591095,2.2003686428,0,,,,,,,,,,,,,,
2008,1,3,10,30,172,626,506,166,675,526,1,20.6957876771,1016.7271728516,28.2022040158,57.7977255404,1.010890255,0,56.5675392151,1.8927364349,0,,,,,,,,,,,,,,
2008,1,3,11,30,207,628,606,183,738,651,0,24.8978088178,1016.2310791016,19.4986600313,50.6531296848,1.0413014652,0,57.2272033691,1.9971088171,0,,,,,,,,,,,,,,
2008,1,3,12,30,214,665,667,190,762,709,0,27.567963105,1015.3260498047,16.7084439907,47.0628362655,1.0718773543,0,53.4398880005,1.9620023966,0,,,,,,,,,,,,,,
2008,1,3,13,30,234,609,643,188,756,696,0,28.3688087385,1014.3214111328,16.833088965,47.8370499797,1.1025993092,0,37.458190918,1.8149580956,0,,,,,,,,,,,,,,
2008,1,3,14,30,251,455,527,178,718,612,1,28.0113293847,1013.5632324219,17.5715798647,52.7836265574,1.1290402143,0,19.2802505493,1.9787362814,0,,,,,,,,,,,,,,
2008,1,3,15,30,214,364,392,157,637,467,1,26.7559639139,1013.498046875,18.8172521542,60.8909225881,1.1399151189,0,5.3781433105,2.4623746872,0,,,,,,,,,,,,,,
2008,1,3,16,30,147,198,212,120,485,278,2,24.415193796,1013.7232666016,24.1552071496,71.0802742537,1.1402053074,0,353.1337585449,3.2255215645,0,,,,,,,,,,,,,,
2008,1,3,17,30,48,17,51,55,191,80,2,21.0647518241,1014.1112060547,29.2586678641,82.5772092049,1.1262797979,0,348.1786193848,4.2689929008,0,,,,,,,,,,,,,,
2008,1,3,18,30,0,0,0,0,0,0,0,19.5584616956,1014.694519043,28.1776803236,94.9013501109,1.0893686573,0,350.7874755859,5.0685052872,0,,,,,,,,,,,,,,
2008,1,3,19,30,0,0,0,0,0,0,-1,18.4240503442,1015.1759033203,26.7742314177,107.7569972428,1.0446452801,0,355.499206543,5.3873610497,0,,,,,,,,,,,,,,
2008,1,3,20,30,0,0,0,0,0,0,-2,17.2576300273,1015.5681762695,26.7592175727,120.9637879408,1.002253724,0,0.2950286865,5.2940120697,0,,,,,,,,,,,,,,
2008,1,3,21,30,0,0,0,0,0,0,-2,16.1611630013,1015.5590209961,27.3396395403,134.4041795292,0.9620113207,0,5.1020278931,5.0677351952,0,,,,,,,,,,,,,,
2008,1,3,22,30,0,0,0,0,0,0,-3,15.1816788065,1015.3968505859,28.1264815746,147.9970047842,0.927046023,0,9.8501815796,4.819653511,0,,,,,,,,,,,,,,
2008,1,3,23,30,0,0,0,0,0,0,-3,14.27404925,1015.3158569336,29.3484718119,161.6782965344,0.8996438838,0,14.3039016724,4.5744309425,0,,,,,,,,,,,,,,
2008,1,4,0,30,0,0,0,0,0,0,-3,13.4083403855,1014.93359375,30.9751546627,175.3234304659,0.881362802,0,16.9481277466,4.3648428917,0,,,,,,,,,,,,,,
2008,1,4,1,30,0,0,0,0,0,0,-3,12.6195743771,1014.8410644531,32.8427221371,170.7095177308,0.8755644609,0,17.7206420898,4.1947612762,0,,,,,,,,,,,,,,
2008,1,4,2,30,0,0,0,0,0,0,-3,11.917850718,1014.6697387695,34.0943541909,157.0144088834,0.8790323736,0,18.862411499,4.2141442299,0,,,,,,,,,,,,,,
2008,1,4,3,30,0,0,0,0,0,0,-3,11.2663942204,1014.5071411133,35.2339674598,143.3542653248,0.8776839002,0,21.1444549561,4.283244133,0,,,,,,,,,,,,,,
2008,1,4,4,30,0,0,0,0,0,0,-3,10.661609384,1014.6484375,36.7949362507,129.8027579563,0.8711236076,0,24.6051712036,4.2857532501,0,,,,,,,,,,,,,,
2008,1,4,5,30,0,0,0,0,0,0,-3,10.1082711129,1014.8364868164,38.5006822813,116.4272624944,0.8590417848,0,27.946723938,4.2057747841,0,,,,,,,,,,,,,,
2008,1,4,6,30,0,0,0,0,0,0,-3,9.6451256452,1015.5252075195,40.0635805262,103.3187439223,0.8559610222,0,30.9258041382,4.1147484779,0,,,,,,,,,,,,,,
2008,1,4,7,30,0,0,0,1,0,1,-2,10.4621487346,1016.3679199219,39.1217449084,90.6068711418,0.8665023977,0,33.2085609436,4.0123758316,0,,,,,,,,,,,,,,
2008,1,4,8,30,86,283,143,83,320,147,-2,13.2667120502,1017.0784912109,32.4729630681,78.5192861062,0.8827280432,0,33.578453064,3.4942469597,0,,,,,,,,,,,,,,
2008,1,4,9,30,141,492,331,136,556,350,-1,17.2038827555,1017.2713012695,28.1273964543,67.3879468509,0.9112086219,0,33.185760498,3.0027966499,0,,,,,,,,,,,,,,
2008,1,4,10,30,171,629,507,166,678,528,0,21.9362894514,1016.9992675781,22.8502501691,57.7874015258,0.950114633,0,31.8312530518,2.7995281219,0,,,,,,,,,,,,,,
2008,1,4,11,30,225,586,597,183,740,653,-1,26.1248027277,1016.1708984375,16.05072845,50.6071754922,0.9936188951,0,34.9180831909,3.0831441879,0,,,,,,,,,,,,,,
2008,1,4,12,30,209,692,682,190,764,711,0,28.3000514028,1015.4055175781,14.9766213095,46.9775993583,1.0413039644,0,32.6502685547,3.0103771687,0,,,,,,,,,,,,,,
2008,1,4,13,30,213,709,690,188,757,698,0,28.9205691655,1014.3580322266,15.4782518592,47.7190299215,1.0886318661,0,25.2248916626,2.8734617233,0,,,,,,,,,,,,,,
2008,1,4,14,30,235,506,543,178,719,614,0,28.5870985757,1013.5408325195,16.2589485837,52.646709241,1.1305549544,0,18.3665924072,2.8260505199,0,,,,,,,,,,,,,,
2008,1,4,15,30,217,412,419,157,638,469,0,27.3698270841,1013.0952758789,17.5554268505,60.7471813299,1.1632192636,0,11.1801071167,2.9201962948,0,,,,,,,,,,,,,,
2008,1,4,16,30,149,148,198,121,486,280,2,24.9376333862,1013.1647949219,22.9145736886,70.9364907905,1.1917191398,0,1.655166626,3.2720999718,0,,,,,,,,,,,,,,
2008,1,4,17,30,56,195,82,56,195,82,2,21.4830518671,1013.4405517578,28.5787747376,82.4364162628,1.193209653,0,358.2738647461,3.9620826244,0,,,,,,,,,,,,,,
2008,1,4,18,30,0,0,0,0,0,0,0,19.9503859941,1013.7799682617,28.1494056308,94.7646543622,1.1755541396,0,0.1958770752,4.4601221085,0,,,,,,,,,,,,,,
2008,1,4,19,30,0,0,0,0,0,0,0,18.8518842354,1014.2645874024,27.2479410081,107.6247428145,1.1653328506,0,3.2885818481,4.6072669029,0,,,,,,,,,,,,,,
2008,1,4,20,30,0,0,0,0,0,0,-1,17.7695463327,1014.5246582031,27.7781659287,120.8359494698,1.1622546885,0,7.1509399414,4.4078688622,0,,,,,,,,,,,,,,
2008,1,4,21,30,0,0,0,0,0,0,-1,16.7853930756,1014.7645263672,28.9196809725,134.2805444337,1.1618729285,0,10.2707748413,4.1538329124,0,,,,,,,,,,,,,,
2008,1,4,22,30,0,0,0,0,0,0,-1,15.94016708,1014.3555297852,30.0534460271,147.8770992868,1.1774067924,0,10.7384872437,3.9637053013,0,,,,,,,,,,,,,,
2008,1,4,23,30,0,0,0,0,0,0,-1,15.149683133,1014.1787109375,31.0577608334,161.5606487557,1.2016100048,0,10.0683898926,3.8708207607,0,,,,,,,,,,,,,,
2008,1,5,0,30,0,0,0,0,0,0,-2,14.3913847705,1013.9065551758,32.2492069354,175.1952901543,1.2184105697,0,11.4571838379,3.8132138252,0,,,,,,,,,,,,,,
2008,1,5,1,30,0,0,0,0,0,0,-1,13.6461031557,1013.6459350586,34.4519685826,170.796898271,1.2303780123,0,15.6776733398,3.712323904,0,,,,,,,,,,,,,,
2008,1,5,2,30,0,0,0,0,0,0,-1,12.9272616029,1013.4011230469,37.0305056821,157.1044514527,1.2501702193,0,20.8511810303,3.7665743828,0,,,,,,,,,,,,,,
2008,1,5,3,30,0,0,0,0,0,0,0,12.2122980742,1013.1177978516,40.2110083898,143.44000378,1.2917938548,0,24.3730392456,3.8395905495,0,,,,,,,,,,,,,,
2008,1,5,4,30,0,0,0,0,0,0,0,11.511309065,1013.1348266602,43.3673652221,129.8822211836,1.3272297396,0,27.2681770325,3.8278121948,0,,,,,,,,,,,,,,
